Pop_Rank,City,State,Pop_2020,Pop_2010,Pop_2000,Pop_1990,Pop_Growth,UE_2015,UE_2016,UE_2017,UE_2018,UE_2019,Industry_Sector,Percent_Workforce,Percent_vs_National,Quality of Life,Education,Safety,Purchasing Power,Health Care,Cost of Living,Property Price to Income Ratio,Avg Rent 1BR,Avg Mthly Net Income,Rent to Income Ratio,Rent to Income Ratio over 25%,Avg Adj Annual Per Capita Personal Income,lat,lng
27,Detroit,Michigan,639111,713777,951270,1027974,-2.35,11.7,10.7,9.6,8.9,8.8,Transportation Equipment Manufacturing,5.3,372,132.98,51.35,25.19,110.05,62.39,70.68,1.39,1120,4514,25%,No,54172,42.3834,-83.1024
46,Minneapolis,Minnesota,429954,382578,382618,368383,0.78,3.4,3.4,3.1,2.5,2.8,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.2,251.2,169.2,67.41,45.22,114.68,78.9,79.08,3.78,1200,5352,22%,No,64225,44.9635,-93.2678
36,Kansas City,Missouri,508090,459787,441545,435146,0.78,5.7,4.9,4.3,3.5,3.6,Computer Systems Design Services,2.1,232.5,184.4,59.77,42.26,127.2,75.4,66.07,2.2,980,4584,21%,No,55009,39.1239,-94.5541
39,Omaha,Nebraska,486051,408958,409868,357807,1.54,3.2,3.2,3.2,3.3,3.3,"Direct Life, Health, and Medical Insurance Carriers",2.2,231.9,181.6,59.91,54.16,110.8,75.94,74.65,2.4,900,4584,20%,No,55009,41.2627,-96.0522
26,Las Vegas,Nevada,641903,583756,478434,258295,4.66,7,6,5.5,4.9,4.2,Casino Hotels,18,1517.1,154.66,41.03,44.88,124.83,56.1,68.34,3.47,1270,4067,31%,Yes,48806,36.2333,-115.2654
32,Albuquerque,New Mexico,564559,545852,448607,384736,1.94,5.8,5.7,5.2,4.4,4.4,"Research and Development in the Physical, Engineering, and Life Sciences",5.2,798.5,171.89,57.75,29.34,122.44,64.29,63.44,2.86,860,4373,20%,No,52477,35.1053,-106.6464
1,New York,New York,8804190,8175133,8008278,7322564,0.93,5.7,5.2,4.6,4.2,4,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.5,232,137.97,63.19,52.93,100,62.38,100,9.94,3260,6654,49%,Yes,79844,40.6943,-73.9249
41,Raleigh,North Carolina,467665,403892,276093,207951,4.14,4.6,4.6,4.1,3.7,3.6,Software Publishers,2.1,265.8,207.78,70.96,65.53,144.12,75.64,68.2,3.05,1190,4821,25%,No,57851,35.8325,-78.6435
16,Charlotte,North Carolina,874579,731424,540828,395934,4.04,4.9,4.9,4.4,3.9,3.7,Commercial Banking,4.1,231.4,197.34,56.49,54.7,144.88,74.63,70.06,2.51,1380,4493,31%,Yes,53916,35.208,-80.8304
14,Columbus,Ohio,905748,787033,711470,632910,1.81,4.1,4.2,4.2,3.9,3.6,General Warehousing and Storage,2.6,319.4,201.4,58.1,56.58,151.29,73.95,69.7,4,900,4373,21%,No,52477,39.9862,-82.985
