RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-03-31,2022-05-31,2023-02-28
394670,809,"Hastings, NE",Msa,NE,2022-02-28,0.7,3.7,13.7
394730,810,"Juneau, AK",Msa,AK,2022-02-28,1.8,4.1,12.3
394310,811,"Albert Lea, MN",Msa,MN,2022-02-28,0.5,3.3,13.2
394786,812,"Lewisburg, TN",Msa,TN,2022-02-28,2.2,7.4,24.4
394708,813,"Iron Mountain, MI",Msa,MI,2022-02-28,0.3,3.0,12.4
394795,814,"Lincoln, IL",Msa,IL,2022-02-28,0.9,4.0,11.8
394725,815,"Jesup, GA",Msa,GA,2022-02-28,3.6,7.8,18.8
394751,816,"Kirksville, MO",Msa,MO,2022-02-28,1.1,3.9,13.3
394320,818,"Alpena, MI",Msa,MI,2022-02-28,0.5,3.2,13.2
395100,819,"Silver City, NM",Msa,NM,2022-02-28,3.2,7.1,17.7
394706,820,"Indianola, MS",Msa,MS,2022-02-28,1.1,4.6,13.3
753879,821,"Elkins, WV",Msa,WV,2022-02-28,3.0,5.6,11.7
394774,822,"Las Vegas, NM",Msa,NM,2022-02-28,3.0,6.4,15.0
394846,823,"McPherson, KS",Msa,KS,2022-02-28,0.4,2.8,11.7
395093,824,"Sheridan, WY",Msa,WY,2022-02-28,3.2,7.0,17.8
395206,825,"Washington Court House, OH",Msa,OH,2022-02-28,0.9,4.2,15.6
394381,826,"Bennettsville, SC",Msa,SC,2022-02-28,3.0,8.4,19.7
395185,827,"Van Wert, OH",Msa,OH,2022-02-28,0.9,4.1,14.3
394853,828,"Merrill, WI",Msa,WI,2022-02-28,0.6,3.6,13.4
753901,829,"Ludington, MI",Msa,MI,2022-02-28,0.4,3.1,13.1
394858,830,"Middlesborough, KY",Msa,KY,2022-02-28,2.3,5.2,15.6
394508,831,"Crescent City, CA",Msa,CA,2022-02-28,1.6,4.9,14.2
394921,832,"North Vernon, IN",Msa,IN,2022-02-28,1.2,4.7,15.0
394673,833,"Hays, KS",Msa,KS,2022-02-28,0.6,3.2,11.0
394601,834,"Forrest City, AR",Msa,AR,2022-02-28,1.8,6.3,15.6
394606,835,"Fort Morgan, CO",Msa,CO,2022-02-28,0.7,3.8,16.3
394864,836,"Mineral Wells, TX",Msa,TX,2022-02-28,4.0,7.8,18.5
753871,837,"Breckenridge, CO",Msa,CO,2022-02-28,2.8,10.3,30.8
394364,838,"Bastrop, LA",Msa,LA,2022-02-28,1.4,4.7,11.6
394356,839,"Bainbridge, GA",Msa,GA,2022-02-28,3.5,7.5,17.8
