StateID,SizeRank,StateName,RegionType,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
53,16,Tennessee,State,135707,135623,135593,135533,135547,135436,135238,134900,134492,134036,133590,133094,132445,131880,131284,130854,130379,130036,129708,129439,129156,128857,128595,128378,128303,128222,128243,128264,128377,128433,128577,128697,128881,129029,129157,129340,129569,129897,130257,130666,130995,131362,131697,132195,132745,133418,134114,134711,135224,135607,135925,136186,136511,136919,137337,137680,137939,138144,138321,138662,139111,139651,140170,140711,141384,142019,142630,143217,143870,144594,145367,146040,146763,147503,148291,148982,149553,150132,150845,151628,152536,153444,154426,155415,156280,157041,157931,159012,160164,161306,162421,163533,164503,165432,166390,167420,168425,169530,170517,171514,172462,173497,174576,175586,176579,177541,178397,179240,180155,180965,181731,182360,183136,183871,184577,185352,186218,187159,188181,189208,190251,191386,192630
32,17,Missouri,State,131540,131229,131060,131082,131107,130844,130375,129765,129028,128270,127405,126589,125804,125151,124280,123314,122380,121749,121361,120987,120710,120370,120051,119635,119282,119071,119100,119299,119480,119517,119451,119489,119692,119807,120077,120363,120936,121303,121590,121667,121809,122063,122394,122705,122889,123251,123524,123880,124111,124429,124732,125077,125522,125967,126382,126734,127061,127370,127717,128007,128167,128346,128653,129188,129672,130155,130588,131076,131563,132016,132392,132920,133477,134110,134635,135114,135684,136289,136985,137615,138259,138966,139779,140463,141168,141873,142638,143336,143864,144424,144981,145677,146527,147361,148148,148837,149531,150158,150898,151713,152587,153371,154159,154997,155636,156233,156786,157520,158255,158953,159488,159961,160487,161070,161621,162065,162576,163105,163662,164140,164596,165100,165650
27,18,Maryland,State,276623,275667,274766,274068,274054,273590,272787,271172,269612,267843,265812,263715,261812,260750,259931,258861,257249,255781,254362,253237,252063,251347,250775,250279,249477,248773,248336,248276,248372,248610,249148,249874,250637,251198,251844,252764,254078,255337,256689,257998,259738,261326,262972,264392,266005,267534,269173,270339,271413,272316,272816,273428,273372,273684,273668,274023,274073,274258,274480,274617,274583,274502,274942,275007,275298,275273,275577,275742,275938,276098,275911,276387,276924,277739,278162,278931,279995,280845,281809,282496,283706,284646,285777,286529,287631,288575,289541,290258,290761,291558,291979,292870,293710,295014,296352,297564,298102,298816,299560,300854,301824,302728,303708,304362,304855,305144,305687,306345,307224,307900,308179,308134,308253,308566,308957,309431,309958,310483,310778,311118,311559,312114,312990
60,19,Wisconsin,State,159091,159285,159474,159411,159238,158723,158054,156898,155524,154304,153159,152273,151295,150308,149225,148004,146779,145830,144953,144531,144254,144041,143803,143440,143103,142726,142376,142123,142116,142161,142342,142309,142324,142192,142254,142268,142470,142357,142629,143126,143991,144690,145319,146043,146904,147746,148337,148785,149192,149867,150615,151006,151168,151376,151814,152103,152182,152278,152571,153052,153500,154044,154357,154895,155236,155528,155684,155894,156250,156715,157336,157973,158570,159116,159598,160145,160860,161817,162702,163728,164783,165911,166815,167636,168495,169371,170275,171223,172164,173179,174171,175178,176046,176807,177695,178789,180092,181197,182345,183343,184544,185490,186422,187160,188070,188905,189786,190475,191081,191848,192696,193686,194441,195236,196070,197000,197835,198744,199579,200456,201264,202025,202676
31,20,Minnesota,State,185983,186234,186575,186880,186987,186460,185621,184132,182468,180809,179448,177796,176238,174455,172982,171313,169664,168154,166896,166117,165492,164880,164157,163535,163090,163018,163241,163792,164276,165037,165858,166882,168064,169509,171090,172674,174084,175094,175838,176604,178141,179849,181764,183522,185261,186891,188224,189358,190570,191858,193372,194661,195611,196184,196422,196467,196413,196371,196536,197031,197500,198425,199241,200304,201018,201697,202413,203217,204199,205145,206222,207268,208543,209619,210581,211251,211904,212827,214048,215551,216883,218281,219487,220626,221567,222548,223758,225270,226969,228549,229886,230883,231901,232833,234133,235571,237182,238786,240389,241783,242873,243748,244634,245826,246900,248030,248964,249941,250936,251827,252478,253057,253742,254744,255779,256677,257686,258688,259704,260648,261544,262545,263708
10,21,Colorado,State,234156,234507,234741,234609,234225,233525,232752,231832,230845,229911,228993,228097,227175,226222,225331,224565,223646,222949,222277,222106,222076,222127,222227,222406,222710,223069,223509,224259,225510,227009,228622,229879,231223,232573,234052,235438,237037,238763,240774,242528,244180,245724,247507,249582,251462,253170,254652,256308,257719,259149,260346,261766,263282,264953,266611,268047,269684,271626,273937,276391,279149,281953,284766,287439,290353,293271,296167,299166,302283,305341,308135,310738,313033,315362,317801,320529,322978,325325,327805,330376,332712,334865,337252,339659,342382,345095,347942,350366,352626,354837,356797,358663,360643,362933,365109,367696,370013,372269,374291,376778,379532,382090,384413,386433,388378,390375,392455,393778,394516,395476,396334,397143,397379,398013,398865,399929,401013,401907,402718,403875,405547,407080,408794
4,22,Alabama,State,121781,121601,121193,120760,120234,119765,119166,118593,118101,117699,117194,116598,115849,115214,114746,114441,114180,113917,113658,113415,113101,112756,112335,112068,112015,112005,111996,111834,111790,111718,111746,111728,111813,111908,112142,112309,112484,112624,112832,113030,113091,113168,113264,113494,113692,113890,114069,114282,114421,114532,114579,114758,115056,115403,115692,115932,116100,116310,116521,116702,116892,117086,117363,117566,117747,117905,118138,118332,118590,118753,118907,119087,119361,119712,120031,120390,120686,121019,121247,121521,121751,122126,122563,122989,123296,123543,123823,124150,124491,124746,125046,125440,125990,126492,126887,127405,127937,128512,129002,129530,130117,130732,131374,131973,132548,133079,133643,134066,134550,135041,135570,136058,136536,137077,137622,138178,138716,139322,139980,140723,141474,142247,143072
51,23,South Carolina,State,152094,151893,151537,151289,151185,151008,150567,150014,149344,148649,147965,147071,146059,144894,144047,143190,142443,141786,141382,140988,140559,140109,139670,139540,139560,139822,139760,139760,139641,139548,139325,139094,139124,139273,139483,139582,139641,139707,140067,140463,140897,141324,141851,142535,143102,143632,144158,144651,145210,145672,145958,146096,146313,146641,147046,147397,147758,148063,148290,148561,148901,149414,150048,150743,151335,151877,152385,152809,153211,153697,154324,155001,155675,156181,156674,157120,157767,158393,159000,159720,160526,161399,162170,162885,163349,163923,164412,165234,165939,166741,167460,168183,168841,169484,170184,170907,171876,172853,174057,175006,175910,176675,177459,178252,179078,179831,180613,181398,182176,182906,183380,183892,184383,185027,185695,186324,186940,187597,188216,188828,189373,189932,190594
25,24,Louisiana,State,150537,150717,150982,150912,150919,150838,150677,150417,150254,150092,149871,149493,148731,147930,147032,146443,145916,145601,145448,145373,145240,145181,145083,144977,144966,144937,145096,145306,145584,145721,145665,145658,145719,145792,145734,145736,145816,146080,146367,146560,146781,147137,147639,148081,148304,148489,148734,149129,149608,150019,150316,150562,150560,150466,150343,150480,150712,150984,151490,151830,152121,152324,152769,153178,153622,154034,154517,154804,155173,155569,155848,156211,156408,156727,156774,157016,157391,157941,158427,158873,159286,159618,159875,160012,160234,160372,160854,161397,162005,162313,162633,162934,163364,163764,164307,164864,165561,166134,166381,166367,166154,166194,166177,166412,166511,166752,166707,166520,166250,166239,166403,166567,166810,167050,167356,167517,167749,167935,168321,168866,169432,169909,170388
24,25,Kentucky,State,114713,114712,114765,114863,114969,114923,114792,114616,114467,114303,113933,113494,112932,112410,111887,111445,111089,110822,110607,110445,110254,110060,110031,110042,110127,110192,110290,110416,110472,110443,110409,110337,110430,110520,110635,110684,110813,110968,111202,111321,111484,111684,111945,112323,112578,112875,113081,113326,113413,113584,113641,113850,114041,114365,114696,114874,115061,115237,115527,115886,116375,116736,117136,117447,117829,118106,118368,118748,119192,119602,119962,120297,120684,121180,121687,122236,122725,123296,123829,124382,124898,125519,126149,126780,127300,127793,128397,129073,129806,130474,131165,131824,132505,133113,133862,134561,135327,136008,136660,137196,137639,138113,138646,139149,139605,140053,140399,140822,141312,141981,142578,143208,143835,144488,145092,145722,146378,147053,147735,148383,148967,149454,149987
