Orig_City_State_Name,City_Name,State_Name,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_Num_Change_2010_2019,Pop_Percent_Change_2010_2019
"Charleston city, West Virginia",Charleston,West Virginia,"51,340","54,022","54,215","54,398","54,429","54,440","54,332","54,221","54,226","46,536","-4,804",-9.4
,,,,"54,329","54,580","54,854","54,914","54,971","54,789","54,621","54,259",,,
,,,,"57,401","56,735","56,300","55,880","55,003","54,992","54,634","54,232",,,
,,,,"51,954","52,280","52,546","52,730","52,981","53,186","53,496","53,557",,,
,,,,"51,593","51,887","52,412","52,959","53,528","53,774","53,919","53,875",,,
,,,,"54,322","54,162","54,115","54,078","53,917","53,865","53,781","53,797",,,
,,,,"44,537","46,076","47,713","49,338","50,935","52,495","54,055","53,763",,,
,,,,"55,264","55,417","55,602","55,770","55,528","55,156","54,675","54,116",,,
,,,,"49,944","50,202","50,532","51,410","51,989","52,615","52,940","53,157",,,
,,,,"53,620","52,403","52,331","52,447","52,495","52,568","52,877","52,921",,,
,,,,"51,858","52,407","52,786","52,706","52,956","53,291","53,398","53,494",,,
,,,,"49,106","49,528","49,978","51,637","52,431","52,933","53,304","53,601",,,
,,,,"43,765","45,103","46,238","47,796","49,109","50,486","52,277","53,557",,,
,,,,"49,251","49,775","50,357","50,916","51,552","52,077","52,794","53,129",,,
,,,,"51,376","51,551","51,653","51,973","52,128","52,531","52,816","53,148",,,
,,,,"27,709","29,023","32,916","35,493","38,438","42,661","45,988","49,644",,,
,,,,"52,628","53,241","53,694","53,802","53,960","53,942","54,071","53,483",,,
,,,,"51,632","51,904","52,224","52,463","52,629","52,759","52,948","53,092",,,
,,,,"43,597","44,769","45,352","46,439","47,348","48,499","49,536","51,003",,,
,,,,"49,935","51,312","51,537","52,542","52,675","53,542","53,644","53,488",,,
,,,,"50,196","51,216","51,587","52,046","52,612","53,088","53,533","53,254",,,
,,,,"51,848","52,149","52,270","52,434","52,473","52,662","52,525","52,637",,,
,,,,"47,696","48,089","48,473","49,327","49,849","50,732","51,660","52,508",,,
,,,,"48,686","49,202","49,501","49,704","50,251","51,428","51,783","52,430",,,
,,,,"53,416","53,576","53,765","53,769","53,736","53,518","53,406","53,108",,,
,,,,"50,511","50,853","51,252","51,529","52,540","52,596","52,732","52,668",,,
,,,,"50,769","51,481","52,177","52,463","52,839","53,649","53,662","53,134",,,
,,,,"43,423","43,947","44,761","45,271","46,071","47,309","49,632","50,600",,,
,,,,"43,982","44,710","45,952","47,370","49,227","50,216","51,517","51,880",,,
,,,,"45,009","45,519","46,250","47,629","48,761","49,802","50,584","51,210",,,
,,,,"52,013","52,099","52,254","52,138","52,405","52,060","52,149","52,173",,,
,,,,"51,905","51,975","52,157","52,285","52,505","52,475","52,372","52,373",,,
,,,,"43,866","44,030","44,814","45,543","46,109","46,914","48,002","50,028",,,
,,,,"49,186","49,752","50,352","50,861","51,352","51,742","51,781","51,829",,,
,,,,"44,304","45,189","45,929","46,636","47,170","48,158","49,207","50,491",,,
,,,,"41,407","42,128","43,517","45,731","46,941","48,515","49,910","50,748",,,
,,,,"50,624","50,795","51,120","51,065","51,769","51,882","51,997","51,846",,,
,,,,"49,041","49,094","49,057","49,048","49,769","50,621","51,019","51,334",,,
,,,,"48,786","49,511","49,915","50,304","50,664","51,377","51,992","51,731",,,
,,,,"51,137","51,556","51,722","51,832","51,705","51,765","51,821","51,677",,,
,,,,"23,364","24,378","26,278","28,461","30,572","35,049","39,166","44,663",,,
,,,,"49,401","49,905","50,323","50,887","50,959","51,182","51,128","51,219",,,
,,,,"51,503","51,838","52,105","52,108","52,202","52,154","51,916","51,538",,,
,,,,"51,225","51,962","51,885","52,145","52,023","51,830","51,718","51,491",,,
,,,,"51,991","51,871","51,788","51,776","51,556","51,453","51,275","51,105",,,
,,,,"38,514","39,286","40,337","41,994","43,479","45,156","46,848","49,126",,,
,,,,"45,949","46,438","47,359","48,754","48,984","49,462","50,252","50,671",,,
,,,,"42,526","43,227","43,666","44,975","46,174","47,503","47,504","49,019",,,
,,,,"52,430","52,379","52,265","52,172","52,072","51,652","51,380","51,147",,,
,,,,"52,147","52,301","52,396","52,342","52,098","51,828","51,463","51,111",,,
,,,,"48,350","48,483","48,896","49,402","49,780","50,192","50,469","50,604",,,
,,,,"27,602","28,148","30,424","33,011","35,534","38,850","43,227","47,123",,,
,,,,"48,474","49,038","49,538","49,542","49,499","50,858","50,982","51,206",,,
,,,,"43,169","43,769","44,385","45,310","46,311","47,577","48,774","49,770",,,
,,,,"47,798","48,129","48,706","49,384","49,797","49,953","50,308","50,565",,,
,,,,"47,555","48,100","48,658","49,251","49,691","50,186","50,569","50,396",,,
,,,,"48,106","48,045","48,111","48,260","48,279","48,814","48,984","49,810",,,
,,,,"49,816","49,972","50,223","50,315","50,464","50,276","50,367","50,430",,,
,,,,"47,720","47,809","48,034","48,283","48,592","48,946","49,471","50,001",,,
,,,,"46,264","46,723","47,426","48,454","49,135","49,769","50,039","50,479",,,
,,,,"44,851","45,088","45,846","46,480","47,280","48,287","49,298","49,713",,,
,,,,"45,179","45,577","45,900","46,383","47,299","47,994","48,417","49,078",,,
,,,,"49,223","49,384","49,507","49,532","49,546","50,346","50,697","50,288",,,
,,,,"47,613","49,049","49,762","50,176","50,275","50,396","50,628","50,125",,,
,,,,"49,529","50,018","50,787","51,113","51,478","50,869","50,132","49,723",,,
,,,,"51,662","51,400","51,257","51,088","50,811","50,528","50,211","50,012",,,
,,,,"50,020","49,848","49,921","49,968","49,776","49,597","49,433","49,354",,,
,,,,"51,012","50,728","50,272","49,798","49,230","48,902","48,696","48,310",,,
