,SizeRank,RegionName,StateName,CountyName,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
25,25,Memphis,Tennessee,Shelby County,75399.0,75209.0,75016.0,74787.0,74614.0,74427.0,73977.0,73350.0,72493.0,71950.0,71335.0,70807.0,69802.0,68857.0,67746.0,67216.0,66700.0,66469.0,66095.0,65857.0,65649.0,65144.0,64911.0,64415.0,64430.0,64404.0,64587.0,64231.0,63817.0,63508.0,63682.0,63710.0,63595.0,63397.0,62916.0,62541.0,62176.0,62282.0,62669.0,63210.0,63593.0,63729.0,63575.0,63760.0,64089.0,64957.0,65964.0,67098.0,67809.0,67989.0,67624.0,67501.0,67545.0,67855.0,68095.0,68117.0,68124.0,67744.0,67352.0,67002.0,67328.0,67818.0,68450.0,68478.0,68767.0,68859.0,68942.0,68999.0,69124.0,69460.0,69737.0,69851.0,70132.0,70379.0,70598.0,70588.0,70474.0,70580.0,71028.0,71420.0,71921.0,72192.0,72770.0,73364.0,73264.0,73191.0,73474.0,74686.0,75683.0,76467.0,77105.0,78073.0,78718.0,79584.0,80107.0,80730.0,80965.0,81315,81527,82088,82712,83605,84310,84859,85550,86212,86915,87505,88613,89561,90501,90757,91276,91598,92115,92640,93244,93829,94512,95249,95960,96755,97574
26,26,Boston,Massachusetts,Suffolk County,366469.0,368083.0,370587.0,373124.0,374323.0,376525.0,376864.0,376708.0,374541.0,373502.0,372221.0,372270.0,371855.0,371260.0,369498.0,367786.0,367221.0,366430.0,365843.0,364854.0,364428.0,363943.0,364665.0,365185.0,366004.0,366564.0,368668.0,370980.0,372845.0,373383.0,374816.0,376504.0,379776.0,383159.0,387534.0,392181.0,395554.0,399030.0,401133.0,404248.0,407537.0,412224.0,417073.0,422256.0,426719.0,430543.0,433384.0,434616.0,436863.0,441342.0,447307.0,452329.0,454332.0,457037.0,458202.0,460276.0,461347.0,464578.0,466938.0,470913.0,474008.0,476531.0,477082.0,478944.0,483902.0,488286.0,494928.0,499991.0,506687.0,510073.0,513507.0,518242.0,525596.0,528782.0,532359.0,532635.0,535836.0,538340.0,540054.0,542420.0,544849.0,549341.0,554994.0,557966.0,559235.0,563149.0,568186.0,575472.0,578310.0,582035.0,585583.0,590486.0,593359.0,595187.0,596654.0,598613.0,601674.0,606109,610745,613261,614264,615851,619298,622166,624819,626994,630537,633911,635153,632243,629815,629349,632128,633272,633104,632590,633204,634382,634489,635105,637141,641265,644743
27,27,Washington,District of Columbia,District of Columbia,417998.0,417549.0,416565.0,418269.0,422244.0,425273.0,426172.0,426428.0,425233.0,424469.0,422036.0,421496.0,419901.0,420354.0,419927.0,420081.0,418745.0,417465.0,416841.0,415693.0,415723.0,415059.0,414996.0,413353.0,414634.0,415652.0,418830.0,418592.0,418904.0,420641.0,424674.0,429801.0,434836.0,440585.0,446125.0,451755.0,453556.0,454383.0,454470.0,459538.0,466802.0,473007.0,477216.0,480866.0,484735.0,488705.0,492335.0,496190.0,502738.0,509887.0,517477.0,521527.0,523365.0,524127.0,525665.0,526888.0,527000.0,526076.0,526521.0,527259.0,526161.0,524934.0,523708.0,524486.0,525184.0,526777.0,528688.0,531099.0,534519.0,538815.0,540974.0,542268.0,542754.0,543996.0,545811.0,548523.0,552091.0,554890.0,556593.0,558369.0,559607.0,560041.0,562716.0,566065.0,571848.0,575874.0,579633.0,580291.0,579978.0,579403.0,580773.0,581795.0,583657.0,586195.0,588137.0,590457.0,590662.0,594259,593446,594892,595832,600709,605310,608157,610815,613104,616120,617749,618505,617463,620679,624001,627541,628114,628160,629709,631042,632441,633135,634526,637047,639503,640783
28,28,Portland,Oregon,Multnomah County,292857.0,294054.0,295373.0,296074.0,293969.0,291265.0,288355.0,285079.0,281326.0,278612.0,276941.0,276596.0,275631.0,272704.0,268124.0,264239.0,262165.0,262088.0,263167.0,264130.0,264965.0,264209.0,263759.0,261546.0,260438.0,260115.0,263453.0,266140.0,269057.0,270140.0,271235.0,273102.0,274830.0,277794.0,279303.0,282555.0,286292.0,291313.0,293892.0,296795.0,299730.0,303322.0,305868.0,307237.0,309673.0,311812.0,315583.0,318316.0,319615.0,320703.0,321658.0,324501.0,325113.0,326936.0,328963.0,332378.0,334933.0,337444.0,339525.0,342164.0,346389.0,350224.0,354384.0,355723.0,359521.0,363581.0,368354.0,373304.0,378363.0,384234.0,389572.0,394265.0,397559.0,399603.0,402626.0,408615.0,415810.0,421400.0,426359.0,429046.0,431977.0,433536.0,435502.0,439075.0,443168.0,448063.0,451442.0,453040.0,452542.0,452103.0,452708.0,454803.0,456897.0,458333.0,460008.0,459947.0,459906.0,460952,462819,464513,465514,466441,466243,465807,465128,464646,463470,464401,466321,466751,464822,463103,462716,463049,463698,464161,464655,465516,466681,466782,466124,465998,467621
31,31,Baltimore,Maryland,Baltimore City,149570.0,148228.0,148236.0,148336.0,148624.0,148026.0,147114.0,145502.0,143334.0,140994.0,138709.0,137284.0,135299.0,133209.0,130552.0,129065.0,127612.0,126433.0,124766.0,123417.0,122411.0,121462.0,120261.0,119309.0,118579.0,118984.0,119392.0,118998.0,118679.0,118447.0,118337.0,118129.0,117727.0,118441.0,119202.0,119652.0,120012.0,119973.0,120722.0,121355.0,121605.0,121713.0,122350.0,123349.0,124801.0,125493.0,126350.0,127202.0,128087.0,128771.0,128575.0,128930.0,129469.0,130211.0,130250.0,130173.0,129649.0,129179.0,129131.0,128991.0,129025.0,128925.0,129563.0,130081.0,130559.0,131084.0,131738.0,132675.0,133515.0,134047.0,133840.0,134048.0,134288.0,134923.0,134691.0,134494.0,134457.0,134369.0,134705.0,134885.0,135812.0,136921.0,138148.0,139249.0,139813.0,139410.0,139405.0,139399.0,139900.0,139884.0,140151.0,140518.0,140739.0,141056.0,141401.0,141399.0,141643.0,142347,143865,145251,146124,146789,147204,147578,148669,149633,150184,149946,149853,150616,150665,150530,150351,150722,151047,151376,151064,150764,150744,151521,152174,152141,152180
32,32,Milwaukee,Wisconsin,Milwaukee County,110457.0,110032.0,109819.0,109853.0,109679.0,108924.0,107870.0,105966.0,103487.0,101409.0,99746.0,98985.0,97660.0,96409.0,94631.0,92826.0,90927.0,89527.0,88058.0,87246.0,86762.0,86572.0,86426.0,85833.0,85199.0,84156.0,83226.0,82184.0,82027.0,82000.0,82561.0,82598.0,82726.0,82304.0,82118.0,81863.0,82247.0,82833.0,84153.0,86017.0,87472.0,88522.0,88936.0,89768.0,90817.0,91870.0,92576.0,92948.0,93190.0,93463.0,94243.0,94290.0,94226.0,94084.0,94868.0,95195.0,95022.0,94849.0,95082.0,95759.0,96026.0,96471.0,95871.0,96219.0,96546.0,97311.0,97389.0,97469.0,97880.0,98372.0,99070.0,99583.0,100267.0,100881.0,101704.0,102068.0,102456.0,102771.0,103137.0,103834.0,104620.0,105640.0,106284.0,106789.0,107070.0,107170.0,106983.0,107174.0,107794.0,108874.0,109687.0,110598.0,111181.0,111779.0,112188.0,113122.0,114708.0,116080,117764,118891,119985,120639,121497,122477,123524,124260,124946,125354,125536,126185,126976,128212,129075,129915,130746,131308,131909,132645,133566,134415,135081,135470,135570
34,34,Omaha,Nebraska,Douglas County,143545.0,143974.0,143220.0,143455.0,143213.0,142826.0,140861.0,138771.0,137074.0,135694.0,134545.0,133959.0,133962.0,134201.0,133980.0,132445.0,131524.0,130975.0,131318.0,131684.0,131627.0,131842.0,132013.0,131728.0,130572.0,129341.0,129429.0,130296.0,131226.0,131702.0,132360.0,132778.0,133397.0,133586.0,133950.0,134553.0,135935.0,137068.0,137140.0,136977.0,136770.0,137180.0,137191.0,137606.0,138025.0,138553.0,139026.0,139094.0,138955.0,139182.0,140208.0,141395.0,142067.0,142253.0,142622.0,142936.0,143210.0,143302.0,143287.0,143928.0,144462.0,145226.0,145492.0,146064.0,146821.0,147690.0,148361.0,148863.0,149363.0,150111.0,151229.0,151865.0,152725.0,152869.0,153179.0,152854.0,153142.0,153768.0,154859.0,156090.0,157198.0,158033.0,158330.0,158767.0,159240.0,160579.0,162202.0,164296.0,165537.0,166467.0,167001.0,167579.0,168520.0,169797.0,171286.0,172538.0,173443.0,174363,175078,176020,177099,178113,178731,179261,179637,180413,181102,182199,182938,183332,183863,184396,185309,186093,187317,188581,189823,190645,191553,192284,193507,194871,196202
35,35,Albuquerque,New Mexico,Bernalillo County,189050.0,188588.0,188490.0,187872.0,187272.0,186279.0,185471.0,184775.0,183606.0,181789.0,179994.0,178603.0,177774.0,177003.0,175985.0,174670.0,173537.0,172806.0,172401.0,171252.0,170469.0,170086.0,169988.0,169622.0,169079.0,168654.0,168426.0,168668.0,168866.0,168802.0,168641.0,169119.0,170003.0,170266.0,170493.0,170229.0,170267.0,170404.0,171040.0,171904.0,172692.0,173615.0,174291.0,175117.0,175196.0,175968.0,176244.0,177403.0,178271.0,178845.0,178769.0,178251.0,177959.0,177563.0,177227.0,176751.0,176736.0,176863.0,177801.0,178144.0,178270.0,177966.0,177714.0,177729.0,177845.0,178401.0,179280.0,180229.0,180843.0,180584.0,179591.0,179111.0,179455.0,180619.0,182073.0,183048.0,183691.0,183863.0,183952.0,183649.0,183599.0,184404.0,185797.0,187088.0,187474.0,187653.0,187245.0,187490.0,187738.0,188517.0,189426.0,190564.0,191554.0,191699.0,191834.0,191531.0,191732.0,192049,193148,194050,195018,195398,195148,195144,195324,196823,197835,199156,200277,201257,201980,202469,203085,204150,205725,207146,208548,209262,210364,211548,212921,214485,216090
36,36,Oklahoma City,Oklahoma,Oklahoma County,112812.0,112961.0,113225.0,113324.0,113477.0,113321.0,113130.0,112640.0,112174.0,111526.0,110822.0,110301.0,110216.0,110249.0,110106.0,109752.0,109227.0,108731.0,108345.0,108309.0,108431.0,108611.0,108547.0,108381.0,108036.0,107854.0,107798.0,107980.0,108314.0,108729.0,109072.0,109179.0,108958.0,108844.0,109103.0,109582.0,109997.0,109982.0,110029.0,110024.0,110058.0,110174.0,110457.0,110865.0,111406.0,111818.0,112181.0,112402.0,112798.0,113242.0,113610.0,113900.0,114362.0,114776.0,115110.0,115446.0,115884.0,116525.0,116872.0,117080.0,117056.0,117308.0,117713.0,118254.0,118604.0,118833.0,118977.0,119005.0,118914.0,118735.0,118813.0,119215.0,119980.0,120777.0,121374.0,121546.0,121648.0,121909.0,122386.0,122920.0,123396.0,123635.0,123881.0,124056.0,124030.0,123940.0,123947.0,124651.0,125368.0,126048.0,126403.0,126816.0,127372.0,128114.0,128792.0,129248.0,129532.0,129590,129759,129861,130055,129833,129650,129415,129565,129877,130392,131225,131879,132839,133183,133587,133783,134612,135571,136596,137343,137999,138593,139130,140010,140863,142220
40,40,Atlanta,Georgia,Fulton County,173800.0,172399.0,171607.0,171535.0,171605.0,170943.0,168980.0,167007.0,164055.0,161603.0,159040.0,158108.0,157288.0,156601.0,154871.0,152724.0,150048.0,147992.0,146553.0,145351.0,144885.0,144621.0,144296.0,143075.0,141720.0,140952.0,140842.0,141185.0,141888.0,142785.0,143570.0,144344.0,144764.0,145231.0,146223.0,147595.0,149465.0,150811.0,152859.0,154772.0,157061.0,159049.0,161541.0,164053.0,166816.0,169169.0,171436.0,173684.0,175804.0,178005.0,179175.0,180255.0,180995.0,182158.0,183579.0,185075.0,186417.0,187525.0,188324.0,189487.0,190722.0,192021.0,193623.0,195392.0,197770.0,199949.0,201408.0,202527.0,203994.0,205643.0,207776.0,208834.0,210469.0,212061.0,214403.0,216756.0,218319.0,219471.0,220354.0,221565.0,221781.0,223197.0,224801.0,227942.0,230447.0,233022.0,235114.0,236396.0,237735.0,239562.0,242052.0,244904.0,248629.0,251767.0,254417.0,256618.0,258593.0,260663,262602,265410,268662,272417,275752,278487,281128,283735,286153,287331,288366,288700,289503,290344,291514,291503,291531,291787,291906,292052,292513,293812,295430,297480,299308
